Drug_Name,Vina_Score_kcal_mol,Output_File
deferasirox,-7.459,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\deferasirox_docked.pdbqt
medrogestone,-7.459,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\medrogestone_docked.pdbqt
nifurtimox,-7.458,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nifurtimox_docked.pdbqt
phenindamine,-7.458,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phenindamine_docked.pdbqt
floxuridine,-7.454,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\floxuridine_docked.pdbqt
exemestane,-7.453,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\exemestane_docked.pdbqt
aminaphthone,-7.453,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\aminaphthone_docked.pdbqt
mizoribine,-7.453,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mizoribine_docked.pdbqt
parecoxib,-7.451,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\parecoxib_docked.pdbqt
sulindac,-7.449,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulindac_docked.pdbqt
apalutamide,-7.449,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\apalutamide_docked.pdbqt
pentagestrone,-7.448,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pentagestrone_docked.pdbqt
phenytoin,-7.447,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phenytoin_docked.pdbqt
clonixin,-7.444,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clonixin_docked.pdbqt
fluacizine,-7.441,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fluacizine_docked.pdbqt
velnacrine,-7.441,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\velnacrine_docked.pdbqt
indalpine,-7.438,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\indalpine_docked.pdbqt
phenoxymethylpenicillin,-7.438,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phenoxymethylpenicillin_docked.pdbqt
kebuzone,-7.438,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\kebuzone_docked.pdbqt
fluprednisolone,-7.434,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fluprednisolone_docked.pdbqt
proflavine,-7.433,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\proflavine_docked.pdbqt
prednisone,-7.432,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\prednisone_docked.pdbqt
fenoprofen,-7.431,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fenoprofen_docked.pdbqt
phetharbital,-7.429,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phetharbital_docked.pdbqt
butenafine,-7.428,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\butenafine_docked.pdbqt
azosemide,-7.427,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\azosemide_docked.pdbqt
efavirenz,-7.426,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\efavirenz_docked.pdbqt
methaqualone,-7.424,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\methaqualone_docked.pdbqt
phenformin,-7.423,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phenformin_docked.pdbqt
terizidone,-7.422,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\terizidone_docked.pdbqt
dolutegravir,-7.421,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dolutegravir_docked.pdbqt
stiripentol,-7.421,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\stiripentol_docked.pdbqt
tretoquinol,-7.419,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tretoquinol_docked.pdbqt
scopolamine,-7.419,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\scopolamine_docked.pdbqt
papaverine,-7.418,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\papaverine_docked.pdbqt
diprafenone,-7.418,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\diprafenone_docked.pdbqt
triamterene,-7.417,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\triamterene_docked.pdbqt
metralindole,-7.416,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\metralindole_docked.pdbqt
entecavir,-7.416,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\entecavir_docked.pdbqt
nepafenac,-7.416,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nepafenac_docked.pdbqt
cyclothiazide,-7.414,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cyclothiazide_docked.pdbqt
tolcapone,-7.414,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tolcapone_docked.pdbqt
androstenedione,-7.413,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\androstenedione_docked.pdbqt
protirelin,-7.412,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\protirelin_docked.pdbqt
formylsulfamethin,-7.411,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\formylsulfamethin_docked.pdbqt
dexetimide,-7.41,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dexetimide_docked.pdbqt
lovastatin,-7.409,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lovastatin_docked.pdbqt
epimestrol,-7.408,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\epimestrol_docked.pdbqt
lenvatinib,-7.406,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lenvatinib_docked.pdbqt
calusterone,-7.406,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\calusterone_docked.pdbqt
dextromoramide,-7.405,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dextromoramide_docked.pdbqt
promegestone,-7.403,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\promegestone_docked.pdbqt
danazol,-7.402,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\danazol_docked.pdbqt
niraparib,-7.4,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\niraparib_docked.pdbqt
regadenoson,-7.4,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\regadenoson_docked.pdbqt
ecabet,-7.398,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ecabet_docked.pdbqt
flumazenil,-7.398,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flumazenil_docked.pdbqt
benzylhydrochlorothiazide,-7.398,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\benzylhydrochlorothiazide_docked.pdbqt
tivozanib,-7.396,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tivozanib_docked.pdbqt
clostebol,-7.393,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clostebol_docked.pdbqt
testosterone_propionate,-7.391,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\testosterone_propionate_docked.pdbqt
lonidamine,-7.391,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lonidamine_docked.pdbqt
enalapril,-7.391,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\enalapril_docked.pdbqt
metofoline,-7.39,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\metofoline_docked.pdbqt
grepafloxacin,-7.39,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\grepafloxacin_docked.pdbqt
medroxyprogesterone,-7.389,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\medroxyprogesterone_docked.pdbqt
pioglitazone,-7.388,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pioglitazone_docked.pdbqt
iprazochrome,-7.387,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\iprazochrome_docked.pdbqt
azanidazole,-7.387,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\azanidazole_docked.pdbqt
tropatepine,-7.385,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tropatepine_docked.pdbqt
moxestrol,-7.384,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\moxestrol_docked.pdbqt
nabumetone,-7.382,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nabumetone_docked.pdbqt
cladribine,-7.38,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cladribine_docked.pdbqt
vinburnine,-7.377,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\vinburnine_docked.pdbqt
tamibarotene,-7.377,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tamibarotene_docked.pdbqt
vorozole,-7.376,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\vorozole_docked.pdbqt
pimavanserin,-7.375,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pimavanserin_docked.pdbqt
belinostat,-7.373,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\belinostat_docked.pdbqt
triclocarban,-7.372,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\triclocarban_docked.pdbqt
dilevalol,-7.372,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dilevalol_docked.pdbqt
fomocaine,-7.37,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fomocaine_docked.pdbqt
nalidixic_acid,-7.369,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nalidixic_acid_docked.pdbqt
dexrazoxane,-7.367,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dexrazoxane_docked.pdbqt
mefloquine,-7.367,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mefloquine_docked.pdbqt
ifenprodil,-7.366,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ifenprodil_docked.pdbqt
sulfamethoxypyridazine,-7.364,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulfamethoxypyridazine_docked.pdbqt
niclofolan,-7.363,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\niclofolan_docked.pdbqt
folescutol,-7.362,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\folescutol_docked.pdbqt
glutethimide,-7.361,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\glutethimide_docked.pdbqt
glasdegib,-7.361,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\glasdegib_docked.pdbqt
furalazine,-7.36,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\furalazine_docked.pdbqt
etoxadrol,-7.358,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\etoxadrol_docked.pdbqt
prasterone_acetate,-7.358,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\prasterone_acetate_docked.pdbqt
posatirelin,-7.357,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\posatirelin_docked.pdbqt
encorafenib,-7.357,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\encorafenib_docked.pdbqt
metixene,-7.357,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\metixene_docked.pdbqt
demexiptiline,-7.354,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\demexiptiline_docked.pdbqt
cinchophen,-7.353,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cinchophen_docked.pdbqt
palbociclib,-7.351,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\palbociclib_docked.pdbqt
salsalate,-7.351,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\salsalate_docked.pdbqt
nifurprazine,-7.35,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nifurprazine_docked.pdbqt
bemetizide,-7.35,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\bemetizide_docked.pdbqt
estradiol_valerate,-7.349,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\estradiol_valerate_docked.pdbqt
oxypertine,-7.348,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\oxypertine_docked.pdbqt
carbazochrome,-7.347,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\carbazochrome_docked.pdbqt
isoxsuprine,-7.345,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\isoxsuprine_docked.pdbqt
clemizole,-7.345,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clemizole_docked.pdbqt
nimustine,-7.343,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nimustine_docked.pdbqt
trimegestone,-7.342,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\trimegestone_docked.pdbqt
benzarone,-7.34,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\benzarone_docked.pdbqt
oxyphencyclimine,-7.338,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\oxyphencyclimine_docked.pdbqt
fluindione,-7.337,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fluindione_docked.pdbqt
diamorphine,-7.337,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\diamorphine_docked.pdbqt
valdecoxib,-7.335,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\valdecoxib_docked.pdbqt
oxyphenisatine,-7.335,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\oxyphenisatine_docked.pdbqt
gestrinone,-7.334,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\gestrinone_docked.pdbqt
lifitegrast,-7.333,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lifitegrast_docked.pdbqt
tipiracil,-7.333,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tipiracil_docked.pdbqt
sulfaguanole,-7.329,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulfaguanole_docked.pdbqt
finasteride,-7.328,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\finasteride_docked.pdbqt
trelagliptin,-7.328,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\trelagliptin_docked.pdbqt
eplerenone,-7.325,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\eplerenone_docked.pdbqt
pemigatinib,-7.324,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pemigatinib_docked.pdbqt
famotidine,-7.323,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\famotidine_docked.pdbqt
chlorothiazide,-7.322,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\chlorothiazide_docked.pdbqt
oxaflozane,-7.322,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\oxaflozane_docked.pdbqt
clanobutin,-7.321,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clanobutin_docked.pdbqt
ditazole,-7.32,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ditazole_docked.pdbqt
dihydralazine,-7.32,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dihydralazine_docked.pdbqt
pilsicainide,-7.32,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pilsicainide_docked.pdbqt
diphenan,-7.319,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\diphenan_docked.pdbqt
cinnarizine,-7.319,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cinnarizine_docked.pdbqt
mazindol,-7.318,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mazindol_docked.pdbqt
piberaline,-7.315,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\piberaline_docked.pdbqt
chlormadinone,-7.313,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\chlormadinone_docked.pdbqt
dantrolene,-7.313,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dantrolene_docked.pdbqt
erlotinib,-7.312,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\erlotinib_docked.pdbqt
didanosine,-7.312,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\didanosine_docked.pdbqt
etaqualone,-7.31,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\etaqualone_docked.pdbqt
propizepine,-7.31,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\propizepine_docked.pdbqt
cocaine,-7.31,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cocaine_docked.pdbqt
imidafenacin,-7.309,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\imidafenacin_docked.pdbqt
felbinac,-7.309,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\felbinac_docked.pdbqt
alfadolone_acetate,-7.309,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\alfadolone_acetate_docked.pdbqt
mycophenolic_acid,-7.308,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mycophenolic_acid_docked.pdbqt
pimethixene,-7.308,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pimethixene_docked.pdbqt
todralazine,-7.308,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\todralazine_docked.pdbqt
butinoline,-7.307,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\butinoline_docked.pdbqt
norgestrienone,-7.306,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\norgestrienone_docked.pdbqt
sulfamonomethoxine,-7.306,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulfamonomethoxine_docked.pdbqt
aceclofenac,-7.305,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\aceclofenac_docked.pdbqt
quinestrol,-7.305,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\quinestrol_docked.pdbqt
mitomycin,-7.305,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mitomycin_docked.pdbqt
artisone_acetate,-7.3,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\artisone_acetate_docked.pdbqt
azathioprine,-7.299,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\azathioprine_docked.pdbqt
brimonidine,-7.298,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\brimonidine_docked.pdbqt
cloridarol,-7.296,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cloridarol_docked.pdbqt
flunoxaprofen,-7.295,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flunoxaprofen_docked.pdbqt
sarecycline,-7.293,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sarecycline_docked.pdbqt
melitracen,-7.293,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\melitracen_docked.pdbqt
desoximetasone,-7.293,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\desoximetasone_docked.pdbqt
plafibride,-7.291,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\plafibride_docked.pdbqt
ilaprazole,-7.291,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ilaprazole_docked.pdbqt
pergolide,-7.291,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pergolide_docked.pdbqt
sulfinalol,-7.29,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulfinalol_docked.pdbqt
zomepirac,-7.289,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\zomepirac_docked.pdbqt
flurbiprofen_axetil,-7.289,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flurbiprofen_axetil_docked.pdbqt
sulfafurazole,-7.288,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulfafurazole_docked.pdbqt
stavudine,-7.287,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\stavudine_docked.pdbqt
formoterol,-7.287,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\formoterol_docked.pdbqt
donepezil,-7.287,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\donepezil_docked.pdbqt
alkofanone,-7.285,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\alkofanone_docked.pdbqt
clozapine,-7.285,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clozapine_docked.pdbqt
sertraline,-7.284,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sertraline_docked.pdbqt
cinacalcet,-7.281,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cinacalcet_docked.pdbqt
mepenzolate,-7.28,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mepenzolate_docked.pdbqt
nifuradene,-7.279,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nifuradene_docked.pdbqt
hycanthone,-7.279,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\hycanthone_docked.pdbqt
propafenone,-7.279,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\propafenone_docked.pdbqt
budipine,-7.278,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\budipine_docked.pdbqt
aniracetam,-7.277,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\aniracetam_docked.pdbqt
pantoprazole,-7.276,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pantoprazole_docked.pdbqt
yohimbine,-7.274,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\yohimbine_docked.pdbqt
hydrocortisone,-7.273,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\hydrocortisone_docked.pdbqt
elcometrine,-7.272,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\elcometrine_docked.pdbqt
protizinic_acid,-7.27,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\protizinic_acid_docked.pdbqt
suprofen,-7.269,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\suprofen_docked.pdbqt
sulfinpyrazone,-7.269,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulfinpyrazone_docked.pdbqt
amsacrine,-7.268,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\amsacrine_docked.pdbqt
nimesulide,-7.268,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nimesulide_docked.pdbqt
asenapine,-7.267,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\asenapine_docked.pdbqt
etodolac,-7.266,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\etodolac_docked.pdbqt
cicletanine,-7.265,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cicletanine_docked.pdbqt
clotiapine,-7.265,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clotiapine_docked.pdbqt
iomazenil__123I_,-7.264,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\iomazenil__123I__docked.pdbqt
menadiol_sulfate,-7.263,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\menadiol_sulfate_docked.pdbqt
artesunate,-7.263,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\artesunate_docked.pdbqt
nifuroxazide,-7.262,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nifuroxazide_docked.pdbqt
pirenzepine,-7.26,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pirenzepine_docked.pdbqt
nialamide,-7.259,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nialamide_docked.pdbqt
phenobarbital,-7.259,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phenobarbital_docked.pdbqt
selumetinib,-7.259,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\selumetinib_docked.pdbqt
gliclazide,-7.258,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\gliclazide_docked.pdbqt
cyclobenzaprine,-7.258,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cyclobenzaprine_docked.pdbqt
pipamperone,-7.257,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pipamperone_docked.pdbqt
rufinamide,-7.256,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\rufinamide_docked.pdbqt
tolmetin,-7.256,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tolmetin_docked.pdbqt
efinaconazole,-7.256,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\efinaconazole_docked.pdbqt
levobunolol,-7.255,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\levobunolol_docked.pdbqt
