Drug_Name,Vina_Score_kcal_mol,Output_File
theodrenaline,-8.119,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\theodrenaline_docked.pdbqt
dithranol,-8.115,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dithranol_docked.pdbqt
ampicillin,-8.111,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ampicillin_docked.pdbqt
naratriptan,-8.111,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\naratriptan_docked.pdbqt
eburnamonine,-8.109,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\eburnamonine_docked.pdbqt
acitazanolast,-8.096,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\acitazanolast_docked.pdbqt
flibanserin,-8.096,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flibanserin_docked.pdbqt
bufogenin,-8.094,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\bufogenin_docked.pdbqt
domitroban,-8.093,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\domitroban_docked.pdbqt
perlapine,-8.093,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\perlapine_docked.pdbqt
pefloxacin,-8.091,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pefloxacin_docked.pdbqt
hydroxyestrone_diacetate,-8.08,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\hydroxyestrone_diacetate_docked.pdbqt
eosin,-8.077,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\eosin_docked.pdbqt
olsalazine,-8.071,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\olsalazine_docked.pdbqt
riboflavin,-8.07,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\riboflavin_docked.pdbqt
sapropterin,-8.065,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sapropterin_docked.pdbqt
formestane,-8.065,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\formestane_docked.pdbqt
cilostazol,-8.063,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cilostazol_docked.pdbqt
revaprazan,-8.055,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\revaprazan_docked.pdbqt
pomalidomide,-8.044,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pomalidomide_docked.pdbqt
amoxicillin,-8.04,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\amoxicillin_docked.pdbqt
estrone_sulphate,-8.039,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\estrone_sulphate_docked.pdbqt
fenspiride,-8.038,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fenspiride_docked.pdbqt
